,latitude,longitude,depth,d13C,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,predicted_cluster,cluster,cen_x,cen_y,c
88,0.0,159.48,2445,0.26,MW9109_37BC,"Cib.w, wuellerstorfi, CW",,2.915,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_37BC,see_info_in_citation,2,0,2.7160713812868216,0.24484144573643407,#DF2020
89,0.0,160.0,3393,0.41,MW9109_59BC,"Cib.w, wuellerstorfi, CW",,2.49,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_59BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
90,0.0,162.22,4341,0.35,MW9109_58BC,"Cib.w, wuellerstorfi, CW",,2.76,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_58BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
91,0.0,162.7,4440,0.39,MW9109_66BC,"Cib.w, wuellerstorfi, CW",,2.65,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_66BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
92,0.01,158.91,2301,0.53,MW9109_13BC,"Cib.w, wuellerstorfi, CW",,2.59,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_13BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
93,0.01,160.45,2959,0.43,MW9109_16BC,"Cib.w, wuellerstorfi, CW",,2.58,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_16BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
94,0.01,160.64,3158,0.46,MW9109_63BC,"Cib.w, wuellerstorfi, CW",,2.64,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_63BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
95,0.01,161.39,3711,0.43,MW9109_53BC,"Cib.w, wuellerstorfi, CW",,2.61,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_53BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
96,1.0,157.85,2015,0.51,MW9109_33BC,"Cib.w, wuellerstorfi, CW",,2.605,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_33BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
98,5.74,110.74,790,0.3,GIK18288_1,"Cib.w, wuellerstorfi, CW",,1.9,"Cheng, X et al. (2005)",690656.txt,S_site_GIK18288_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
99,5.83,110.83,978,0.26,GIK18289_1,"Cib.w, wuellerstorfi, CW",,1.97,"Cheng, X et al. (2005)",690656.txt,S_site_GIK18289_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
100,5.92,110.92,1124,-0.18,GIK18290_1,"Cib spp, cib",,2.39,"Cheng, X et al. (2005)",690656.txt,S_site_GIK18290_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
101,5.97,110.96,1208,-0.01,GIK18291_1,"Cib spp, cib",,2.35,"Cheng, X et al. (2005)",690656.txt,S_site_GIK18291_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
102,6.16,111.16,1404,-0.65,GIK18293_1,"Cib spp, cib",,2.36,"Cheng, X et al. (2005)",690656.txt,S_site_GIK18293_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
103,6.16,112.21,1556,0.03,GIK17964_1,"Cib spp, cib",,2.44,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17964_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
104,6.16,112.55,889,0.11667,GIK17965_1,"Cib spp, cib",,1.9733,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17965_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
105,6.16,112.55,889,0.12,GIK17965_1,"Cib.w, wuellerstorfi, CW",,1.9733,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17965_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
106,6.17,112.67,1233,0.06,GIK17963_2,"Cib.w, wuellerstorfi, CW",,2.08,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17963_2,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
107,6.65,111.87,1974,0.14,GIK18268_1,"Cib.w, wuellerstorfi, CW",,2.53,"Cheng, X et al. (2005)",690656.txt,S_site_GIK18268_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
108,7.18,112.08,1970,-0.09,GIK17962_1,"Cib spp, cib",,2.35,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17962_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
109,10.12,115.56,1707,0.19,GIK17960_1,"Cib.w, wuellerstorfi, CW",,2.375,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17960_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
110,10.12,115.56,1707,0.185,GIK17960_1,"Cib spp, cib",,2.375,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17960_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
111,10.9,115.31,2197,0.09,GIK17957_1,"Cib.w, wuellerstorfi, CW",,2.43,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17957_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
112,11.14,115.29,1957,0.18,GIK17959_1,"Cib.w, wuellerstorfi, CW",,2.22,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17959_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
113,11.62,115.08,2581,0.09,GIK17958_1,"Cib.w, wuellerstorfi, CW",,2.43,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17958_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
114,13.85,112.59,3387,-0.91,GIK17956_1,"Cib spp, cib",,2.73,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17956_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
116,14.76,111.53,1517,0.18,GIK17954_1,"Cib.w, wuellerstorfi, CW",,2.46,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17954_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
117,14.76,111.53,1517,0.18,GIK17954_1,"Cib spp, cib",,2.46,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17954_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
118,16.09,112.9,1868,0.3,GIK17950_1,"Cib spp, cib",,2.46,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17950_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
119,16.09,112.9,1868,0.3,GIK17950_1,"Cib.w, wuellerstorfi, CW",,2.46,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17950_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
120,16.29,113.41,2340,0.22,GIK17951_1,"Cib.w, wuellerstorfi, CW",,2.45,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17951_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
121,16.67,114.47,2882,0.26,GIK17952_2,"Cib.w, wuellerstorfi, CW",,2.54,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17952_2,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
122,17.35,115.17,2195,0.16,GIK17949_1,"Cib.w, wuellerstorfi, CW",,2.33,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17949_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
123,18.13,113.78,2404,0.2,GIK17945_1,"Cib.w, wuellerstorfi, CW",,2.61,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17945_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
124,18.13,114.25,3465,-0.52,GIK17946_1,"Cib spp, cib",,2.57,"Cheng, X et al. (2005)",690656.txt,S_site_GIK17946_1,"doi:10.1594/PANGAEA.690656,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
