latitude,longitude,depth,d13C,Core,d18O
64.780,-29.570,1855.000,0.533,V28_14,2.6400
64.800,-29.600,1893.000,1.170,GIK23519_5,2.7300
64.800,-29.600,1903.000,1.110,GIK23519_4,2.6421
66.680,4.570,1226.000,1.110,MD95_2010,3.3226
69.370,-6.550,2711.000,1.396,PS1243_1,4.4037
75.000,13.970,1768.000,1.220,GIK23258_2,3.6538
75.000,13.970,1781.000,1.130,GIK23258_3,3.8843
78.920,6.770,1389.000,1.000,MSM05_5_712_2,4.1045
78.920,6.770,1491.000,1.030,MSM05_5_712_1,4.0680
82.020,15.670,2531.000,1.420,PS2212_3,3.6300
-71.150,-119.920,2096.000,0.430,PS2547_3,4.0300
-68.750,-5.870,2405.000,0.640,PS1506_2,3.3900
-68.730,-5.850,2426.000,0.580,PS1506_1,3.4000
-55.460,1.170,4140.000,0.450,PS1772_6,3.1000
-55.190,-18.600,5131.000,-0.220,PS1782_6,2.8300
-54.560,2.680,2006.000,0.110,PS2099_1,2.8900
-54.530,2.900,1020.000,-0.100,PS2097_1,2.7200
-54.530,2.900,1020.000,-0.100,PS2097_1,2.7200
-54.510,3.020,502.000,-0.030,PS2096_1,2.8100
-53.640,3.840,2089.000,-0.150,PS1651_2,2.8900
-53.090,72.130,950.000,0.440,MD84_560,2.9050
-53.080,-5.000,2388.000,-0.240,PS2102_1,2.8450
-52.590,4.470,3331.000,0.050,PS1768_1,2.8300
-51.330,-3.320,2947.000,-0.080,PS2103_2,2.9850
-50.870,5.710,3936.000,0.187,PS1764_2,2.9833
-50.870,5.710,3936.000,0.187,PS1764_2,2.9833
-50.740,-3.210,2592.000,0.530,PS2104_1,2.7200
-50.170,5.760,3793.000,0.160,PS1759_1,2.7100
-50.160,5.770,3763.000,0.060,PS1654_1,2.7600
-48.900,6.730,3832.000,0.160,PS1756_6,3.0300
-47.750,8.000,2982.000,0.440,PS2085_1,2.9200
-46.020,96.460,3290.000,0.170,MD88_770,3.4800
-43.650,51.250,3284.000,0.220,MD73_025,2.9250
-43.220,11.738,4610.000,0.167,PS2082_1,2.7967
-43.220,11.760,4611.000,0.310,PS2082_3,2.8000
-42.700,12.180,4709.000,-0.315,PS1750_7,2.6450
-42.700,12.180,4709.000,-0.315,PS1750_7,2.6450
-41.850,0.090,912.000,1.298,PS2106_1,3.3225
-41.850,0.090,912.000,1.298,PS2106_1,3.3225
-41.720,13.050,5078.000,0.470,PS2080_1,2.7400
-41.140,13.480,2086.000,0.370,PS2076_1,3.5325
-41.140,13.480,2086.000,0.365,PS2076_1,3.5325
-41.140,13.480,2086.000,0.365,PS2076_1,3.5325
-39.840,1.030,4920.000,0.100,PS2108_1,3.0600
-39.590,14.570,4692.000,-0.090,PS2073_1,3.6400
-35.000,3.170,5035.000,0.250,PS2109_3,2.8700
-31.660,-29.660,3436.000,0.430,GeoB1312_2,3.5440
-28.360,-105.360,3424.000,0.140,GIK17304_1,3.9000
-28.360,-105.360,3424.000,0.300,GIK17304_2,3.6475
-26.950,-44.674,2069.000,1.282,V24_253,2.3940
-26.705,-43.332,2438.000,1.328,RC16_84,2.5150
-25.220,-75.530,3558.000,0.170,GeoB3388_1,2.9900
-24.480,7.530,4084.000,0.450,GeoB1211_3,2.5500
-24.030,5.310,2266.000,0.810,GeoB1220_2,2.9900
-23.830,-115.940,2918.000,-0.040,SO26_222KA,3.9883
-23.430,11.700,2987.000,0.463,GeoB1710_3,2.6133
-22.920,6.040,2505.000,0.820,GeoB1032_3,2.2500
-21.740,5.420,3772.000,0.690,GeoB1034_3,2.6000
-21.590,5.030,4453.000,0.660,GeoB1035_4,2.4000
-14.500,177.090,3010.000,0.310,SO35_2_182KL,3.0200
-7.970,-100.010,4107.000,-0.140,SO26_141KA,2.9700
-4.000,10.000,1000.000,0.330,BT4,2.5700
-2.200,5.100,3894.000,-0.010,GIK16867_3,3.7300
-2.180,157.000,1614.000,0.390,MW9109_7BC,2.7500
-1.340,-11.970,3911.000,0.838,GIK16772_1,2.4775
0.000,159.480,2445.000,0.260,MW9109_37BC,2.9150
0.000,160.000,3393.000,0.410,MW9109_59BC,2.4900
0.000,162.220,4341.000,0.350,MW9109_58BC,2.7600
0.000,162.700,4440.000,0.390,MW9109_66BC,2.6500
0.010,158.910,2301.000,0.530,MW9109_13BC,2.5900
0.010,160.450,2959.000,0.430,MW9109_16BC,2.5800
0.010,160.640,3158.000,0.460,MW9109_63BC,2.6400
0.010,161.390,3711.000,0.430,MW9109_53BC,2.6100
0.750,83.330,4420.000,0.170,SO93_22KL,2.5200
1.000,157.850,2015.000,0.510,MW9109_33BC,2.6050
2.680,6.720,2184.000,0.960,GeoB4901_8,2.4300
5.335,-22.055,3518.000,0.796,GIK16458_2,3.0100
5.380,90.360,2935.000,0.585,121_758,2.4950
5.540,110.540,226.000,0.950,GIK18284_2,-3.0500
5.740,110.740,790.000,0.300,GIK18288_1,1.9000
5.830,110.830,978.000,0.260,GIK18289_1,1.9700
5.920,110.920,1124.000,-0.180,GIK18290_1,2.3900
5.970,110.960,1208.000,-0.010,GIK18291_1,2.3500
6.160,111.160,1404.000,-0.650,GIK18293_1,2.3600
6.160,112.210,1556.000,0.030,GIK17964_1,2.4400
6.160,112.550,889.000,0.117,GIK17965_1,1.9733
6.160,112.550,889.000,0.120,GIK17965_1,1.9733
6.170,112.670,1233.000,0.060,GIK17963_2,2.0800
6.650,111.870,1974.000,0.140,GIK18268_1,2.5300
7.180,112.080,1970.000,-0.090,GIK17962_1,2.3500
9.170,-17.660,3057.000,0.560,GeoB9528_3,2.7500
10.120,115.560,1707.000,0.190,GIK17960_1,2.3750
10.120,115.560,1707.000,0.185,GIK17960_1,2.3750
10.900,115.310,2197.000,0.090,GIK17957_1,2.4300
11.000,-80.000,3051.000,0.740,DSDP502,2.9998
11.140,115.290,1957.000,0.180,GIK17959_1,2.2200
11.610,94.120,1760.000,0.400,MD77_171,1.4600
11.620,115.080,2581.000,0.090,GIK17958_1,2.4300
13.850,112.590,3387.000,-0.910,GIK17956_1,2.7300
14.320,57.350,3212.000,0.110,SO42_74KL,2.4700
14.590,119.750,2507.000,0.150,GIK17920_1,-2.3900
14.760,111.530,1517.000,0.180,GIK17954_1,2.4600
14.760,111.530,1517.000,0.180,GIK17954_1,2.4600
16.020,91.000,2455.000,-0.130,MD77_182,2.3800
16.090,112.900,1868.000,0.300,GIK17950_1,2.4600
16.090,112.900,1868.000,0.300,GIK17950_1,2.4600
16.290,113.410,2340.000,0.220,GIK17951_1,2.4500
16.670,114.470,2882.000,0.260,GIK17952_2,2.5400
17.320,90.390,2271.000,0.270,MD77_181,1.9200
17.350,115.170,2195.000,0.160,GIK17949_1,2.3300
18.130,113.780,2404.000,0.200,GIK17945_1,2.6100
18.130,114.250,3465.000,-0.520,GIK17946_1,2.5700
18.270,119.750,2486.000,0.340,GIK17928_2,2.6700
18.660,113.640,1219.000,0.295,GIK17944_1,2.2600
18.660,113.640,1219.000,0.300,GIK17944_1,2.2600
18.880,116.530,3143.000,0.200,GIK17935_2,2.4500
18.950,117.550,917.000,0.320,GIK17943_1,1.8950
