,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C
90,dsdp586,mPWP-1,3.106666666666667,0.20792626898334243,3,-0.01,0.13114877048604004,3
91,dsdp586,KM2,3.04,,1,-0.01,,1
92,dsdp586,mPWP-2,3.29,,1,0.05,,1
93,dsdp586,G20,2.99,,1,0.17,,1
94,dsdp586,G20 - 2800 ka,3.08,,1,-0.04,,1
95,dsdp586,iNHG,3.59,0.21213203435596445,2,-0.185,0.007071067811865481,2
96,iodpU1338,3500 ka - M2,3.2250869565217393,0.17079304676167115,23,-0.015478260869565212,0.12960880636649283,23
97,iodpU1338,M2,3.249,,1,-0.366,,1
98,iodpU1338,mPWP-1,3.279428571428572,0.16014162687864972,14,0.060571428571428554,0.2896373632627569,14
99,iodpU1338,KM2,3.3227,0.2263394942705904,10,-0.2185,0.267509605227343,10
100,iodpU1338,mPWP-2,3.2971052631578943,0.0874908850724476,19,-0.13326315789473683,0.23678326754539408,19
101,iodpU1338,G20,3.578333333333333,0.2090199352533948,3,-0.35600000000000004,0.15852760012060993,3
102,iodpU1338,G20 - 2800 ka,3.5075000000000003,0.20152543263816583,2,-0.322,0.1682914139223983,2
103,iodpU1338,iNHG,,,0,,,0
104,odp806,3500 ka - M2,2.5033333333333334,0.16758312135803702,66,0.025909090909090916,0.14735595075793925,66
105,odp806,M2,2.991666666666667,0.18734104373219093,6,-0.16333333333333333,0.13441230102437302,6
106,odp806,mPWP-1,2.6312121212121213,0.11420260438573566,33,0.29454545454545455,0.10764788981590946,33
107,odp806,KM2,2.716,0.09697651491183036,10,-0.089,0.08837420438114281,10
108,odp806,mPWP-2,2.5840000000000005,0.12377398757412646,20,0.10450000000000001,0.18173071460702217,20
109,odp806,G20,2.8911111111111114,0.10252370999486468,9,-0.09000000000000001,0.07984359711335656,9
110,odp806,G20 - 2800 ka,2.797450980392157,0.17642951155920486,51,0.08686274509803922,0.13813747060198303,51
111,odp806,iNHG,2.8146875,0.23485045859700976,32,0.0403125,0.19507623613148223,32
112,odp849,3500 ka - M2,3.7774509803921568,0.22724298129759604,51,-0.07313725490196078,0.24524673450285478,51
113,odp849,M2,3.9657142857142857,0.3881519093884568,7,-0.027142857142857142,0.5208555233368234,7
114,odp849,mPWP-1,3.78525,0.11195208453070106,40,0.15299999999999997,0.1690577203812734,40
115,odp849,KM2,4.04875,0.10301698889018264,8,-0.44625,0.10473606283006279,8
116,odp849,mPWP-2,3.7835,0.19881954261670506,20,-0.1095,0.303687425870053,20
117,odp849,G20,3.802222222222222,0.3787406031104196,9,0.13666666666666666,0.5375872022286244,9
118,odp849,G20 - 2800 ka,4.082916666666667,0.19446553414842224,48,-0.08541666666666665,0.18572409568042608,48
119,odp849,iNHG,4.05074074074074,0.2692714661955895,27,-0.09629629629629631,0.21605106497784884,27
120,odp1123,3500 ka - M2,3.3681993322,0.16306625640031908,65,0.17343842206153845,0.23879971364203706,65
121,odp1123,M2,3.879,0.13402238618977055,5,-0.0364,0.18175477985461622,5
122,odp1123,mPWP-1,3.454593023255814,0.17109911690978702,43,0.2885426356511628,0.20053402610426077,43
123,odp1123,KM2,3.904,0.1068456831135448,4,-0.28900000000000003,0.033025242870668894,4
124,odp1123,mPWP-2,3.3072307692307694,0.15749796498481802,13,0.3835,0.17326833717291415,13
125,odp1123,G20,3.4799230769230767,0.13780327858851396,13,0.17692307692307693,0.12595201569014391,13
126,odp1123,G20 - 2800 ka,3.6683,0.21402190825985518,80,0.1981,0.2894407352818644,80
127,odp1123,iNHG,3.6670000000000003,0.21196818822765082,40,0.321,0.19508117968339916,40
128,dsdp593,3500 ka - M2,2.0057865745454544,0.14054416034564793,11,0.8705454545454544,0.08492981059246939,11
129,dsdp593,M2,2.54523495,,1,0.744,,1
130,dsdp593,mPWP-1,1.9594168239999998,0.1280612161502326,10,0.8045000000000002,0.11905950893005843,10
131,dsdp593,KM2,2.2357506,,1,0.772,,1
132,dsdp593,mPWP-2,2.01529735,0.12245109944034793,4,0.8355,0.06608328079022713,4
133,dsdp593,G20,2.0990977,,1,0.887,,1
134,dsdp593,G20 - 2800 ka,2.0596170727272725,0.12691875306154007,11,0.8107272727272729,0.11913445421798928,11
135,dsdp593,iNHG,2.1830316916666668,0.08030101450948132,6,1.0014999999999998,0.18574579403044364,6
136,odp846,3500 ka - M2,3.1935294117647057,0.25317369288199554,85,-0.3336470588235294,0.1874823614485953,85
137,odp846,M2,3.7299999999999995,0.17762319668331597,5,-0.418,0.1515585695366646,5
138,odp846,mPWP-1,3.184318181818182,0.1527940965508922,44,0.029772727272727274,0.14612019003743135,44
139,odp846,KM2,3.5964705882352943,0.2584797181712375,17,-0.40647058823529414,0.1977353400530172,17
140,odp846,mPWP-2,3.115714285714286,0.15919772405381724,28,-0.2657142857142857,0.29913986040756274,28
141,odp846,G20,3.4430769230769234,0.13104608701932655,13,-0.37,0.13632070031119023,13
142,odp846,G20 - 2800 ka,3.3669,0.19233648440252632,100,-0.2613,0.243628525804879,100
143,odp846,iNHG,3.3759574468085116,0.2626756933730102,47,-0.22999999999999998,0.28370223214091767,47
144,odp1123,3500 ka - M2,3.3681993322,0.16306625640031908,65,0.17343842206153845,0.23879971364203706,65
145,odp1123,M2,3.879,0.13402238618977055,5,-0.0364,0.18175477985461622,5
146,odp1123,mPWP-1,3.454593023255814,0.17109911690978702,43,0.2885426356511628,0.20053402610426077,43
147,odp1123,KM2,3.904,0.1068456831135448,4,-0.28900000000000003,0.033025242870668894,4
148,odp1123,mPWP-2,3.3072307692307694,0.15749796498481802,13,0.3835,0.17326833717291415,13
149,odp1123,G20,3.4799230769230767,0.13780327858851396,13,0.17692307692307693,0.12595201569014391,13
150,odp1123,G20 - 2800 ka,3.6683,0.21402190825985518,80,0.1981,0.2894407352818644,80
151,odp1123,iNHG,3.6670000000000003,0.21196818822765082,40,0.321,0.19508117968339916,40
