latitude,longitude,depth,d13C,dataset,datasetName,Core,coreflag,speciesflag,speciesName,depthtop,depthbottom,adjdepthmean,age_calkaBP,d18O,Author,FileName,AdditionalNotes,RetrievalNb, sitename,variabledescription,citation,References,datadoi,DataSource,Date,Cruise
-27.7,-46.5,1604,1.1,1,P14,KNR159-MC15D,1,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.56,-46.19,2082,1.2,1,P14,KNR159-34JPC,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.56,-46.18,2096,1.2,1,P14,KNR159-MC32H,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.49,-46.34,1823,1,1,P14,KNR159-MC75EF,1,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.37,-46.84,790,1.5,1,P14,KNR159-99GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.35,-46.63,1108,1.1,1,P14,KNR159-105JPC,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.27,-46.63,936,1.4,1,P14,KNR159-38JPC,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.25,-46.63,938,1.4,1,P14,KNR159-37GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.25,-46.47,1253,1.1,1,P14,KNR159-MC35E,1,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-26.69,-46.34,462,1.6,1,P14,KNR159-136GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-26.48,-45.93,630,1.6,1,P14,KNR159-10GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-25.5,11.3,4194,0.34,1,P14,RC13-229,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sarnthein et al. 1994,NaN,NaN,NaN,NaN
