latitude,longitude,depth,d13C,datasetNam,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,Cruise
-74.680000000000007,-35.090000000000003,487.000000000000000,1.230000000000000,M12,1490-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-74.670000000000002,-35.079999999999998,489.000000000000000,1.260000000000000,M12,1419-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.670000000000002,-33.950000000000003,550.000000000000000,1.260000000000000,M12,1421-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.659999999999997,-31.969999999999999,602.000000000000000,1.390000000000000,M12,1489-3,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-74.650000000000006,-32.969999999999999,610.000000000000000,1.290000000000000,M12,1420-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.480000000000004,-35.600000000000001,779.000000000000000,1.090000000000000,M12,1418-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.420000000000002,-35.729999999999997,1158.000000000000000,1.160000000000000,M12,1417-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.329999999999998,-36.020000000000003,1527.000000000000000,1.090000000000000,M12,1416-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.250000000000000,-35.490000000000002,1779.000000000000000,0.780000000000000,M12,1493-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-74.239999999999995,-27.340000000000000,2443.000000000000000,0.230000000000000,M12,1598-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-74.230000000000004,-26.260000000000002,2467.000000000000000,0.090000000000000,M12,1596-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-74.180000000000007,-36.590000000000003,1609.000000000000000,1.250000000000000,M12,1495-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-74.180000000000007,-35.490000000000002,1944.000000000000000,0.650000000000000,M12,1494-3,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-74.180000000000007,-27.449999999999999,2512.000000000000000,0.240000000000000,M12,1600-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-74.099999999999994,-35.649999999999999,2117.000000000000000,0.840000000000000,M12,1415-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-74.099999999999994,-33.680000000000000,1610.000000000000000,0.830000000000000,M12,1607-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
